datetime,count
1/20/2011 0:00,43
1/20/2011 1:00,133
1/20/2011 2:00,133
1/20/2011 3:00,68
1/20/2011 4:00,68
1/20/2011 5:00,59
1/20/2011 6:00,58
1/20/2011 7:00,57
1/20/2011 8:00,51
1/20/2011 9:00,72
1/20/2011 10:00,52
1/20/2011 11:00,92
1/20/2011 12:00,164
1/20/2011 13:00,112
1/20/2011 14:00,117
1/20/2011 15:00,119
1/20/2011 16:00,110
1/20/2011 17:00,134
1/20/2011 18:00,77
1/20/2011 19:00,49
1/20/2011 20:00,63
1/20/2011 21:00,65
1/20/2011 22:00,58
1/20/2011 23:00,55
1/21/2011 0:00,58
1/21/2011 1:00,58
1/21/2011 2:00,73
1/21/2011 3:00,68
1/21/2011 4:00,61
1/21/2011 5:00,39
1/21/2011 6:00,54
1/21/2011 7:00,53
1/21/2011 8:00,48
1/21/2011 9:00,46
1/21/2011 10:00,40
1/21/2011 11:00,40
1/21/2011 12:00,42
1/21/2011 13:00,41
1/21/2011 14:00,41
1/21/2011 15:00,43
1/21/2011 16:00,49
1/21/2011 17:00,47
1/21/2011 18:00,51
1/21/2011 19:00,47
1/21/2011 20:00,46
1/21/2011 21:00,50
1/21/2011 22:00,58
1/21/2011 23:00,52
1/22/2011 0:00,42
1/22/2011 1:00,62
1/22/2011 2:00,66
1/22/2011 3:00,67
1/22/2011 4:00,59
1/22/2011 6:00,66
1/22/2011 7:00,41
1/22/2011 8:00,48
1/22/2011 9:00,38
1/22/2011 10:00,74
1/22/2011 11:00,77
1/22/2011 12:00,87
1/22/2011 13:00,68
1/22/2011 14:00,55
1/22/2011 15:00,67
1/22/2011 16:00,65
1/22/2011 17:00,89
1/22/2011 18:00,41
1/22/2011 19:00,43
1/22/2011 20:00,35
1/22/2011 21:00,37
1/22/2011 22:00,43
1/22/2011 23:00,38
1/23/2011 0:00,38
1/23/2011 1:00,38
1/23/2011 2:00,44
1/23/2011 3:00,44
1/23/2011 5:00,55
1/23/2011 6:00,55
1/23/2011 7:00,51
1/23/2011 8:00,54
1/23/2011 9:00,75
1/23/2011 10:00,82
1/23/2011 11:00,60
1/23/2011 12:00,95
1/23/2011 13:00,73
1/23/2011 14:00,82
1/23/2011 15:00,82
1/23/2011 16:00,79
1/23/2011 17:00,72
1/23/2011 18:00,60
1/23/2011 19:00,64
1/23/2011 20:00,51
1/23/2011 21:00,44
1/23/2011 22:00,39
1/23/2011 23:00,37
1/24/2011 0:00,50
1/24/2011 1:00,52
1/24/2011 3:00,58
1/24/2011 4:00,45
1/24/2011 5:00,45
1/24/2011 6:00,42
1/24/2011 7:00,43
1/24/2011 8:00,49
1/24/2011 9:00,57
1/24/2011 10:00,63
1/24/2011 11:00,56
1/24/2011 12:00,54
1/24/2011 13:00,55
1/24/2011 14:00,57
1/24/2011 15:00,61
1/24/2011 16:00,55
1/24/2011 17:00,61
1/24/2011 18:00,64
1/24/2011 19:00,61
1/24/2011 20:00,64
1/24/2011 21:00,63
1/24/2011 22:00,63
1/24/2011 23:00,64
1/25/2011 0:00,61
1/25/2011 1:00,65
1/25/2011 2:00,55
1/25/2011 4:00,63
1/25/2011 5:00,51
1/25/2011 6:00,64
1/25/2011 7:00,51
1/25/2011 8:00,65
1/25/2011 9:00,76
1/25/2011 10:00,80
1/25/2011 11:00,77
1/25/2011 12:00,105
1/25/2011 13:00,89
1/25/2011 14:00,169
1/25/2011 15:00,170
1/25/2011 16:00,170
1/25/2011 17:00,178
1/25/2011 18:00,137
1/25/2011 19:00,72
1/25/2011 20:00,63
1/25/2011 21:00,63
1/25/2011 22:00,63
1/25/2011 23:00,71
1/26/2011 0:00,70
1/26/2011 1:00,74
1/26/2011 2:00,71
1/26/2011 5:00,64
1/26/2011 6:00,64
1/26/2011 7:00,64
1/26/2011 8:00,64
1/26/2011 9:00,64
1/26/2011 10:00,60
1/26/2011 11:00,57
1/26/2011 12:00,57
1/26/2011 13:00,57
1/26/2011 14:00,56
1/26/2011 15:00,50
1/26/2011 16:00,59
1/26/2011 17:00,57
1/27/2011 16:00,58
1/27/2011 17:00,76
1/27/2011 18:00,72
1/27/2011 19:00,72
1/27/2011 20:00,67
1/27/2011 21:00,67
1/27/2011 22:00,67
1/27/2011 23:00,52
1/28/2011 0:00,65
1/28/2011 1:00,65
1/28/2011 2:00,63
1/28/2011 3:00,69
1/28/2011 5:00,64
1/28/2011 6:00,62
1/28/2011 7:00,60
1/28/2011 8:00,60
1/28/2011 9:00,61
1/28/2011 10:00,62
1/28/2011 11:00,62
1/28/2011 12:00,62
1/28/2011 13:00,62
1/28/2011 14:00,75
1/28/2011 15:00,78
1/28/2011 16:00,112
1/28/2011 17:00,72
1/28/2011 18:00,59
1/28/2011 19:00,66
1/28/2011 20:00,63
1/28/2011 21:00,66
1/28/2011 22:00,42
1/28/2011 23:00,59
1/29/2011 0:00,80
1/29/2011 1:00,82
1/29/2011 2:00,82
1/29/2011 3:00,78
1/29/2011 4:00,72
1/29/2011 6:00,70
1/29/2011 7:00,66
1/29/2011 8:00,79
1/29/2011 9:00,76
1/29/2011 10:00,78
1/29/2011 11:00,72
1/29/2011 12:00,83
1/29/2011 13:00,100
1/29/2011 14:00,90
1/29/2011 15:00,77
1/29/2011 16:00,89
1/29/2011 17:00,124
1/29/2011 18:00,80
1/29/2011 19:00,101
1/29/2011 20:00,74
1/29/2011 21:00,74
1/29/2011 22:00,71
1/29/2011 23:00,71
1/30/2011 0:00,72
1/30/2011 1:00,65
1/30/2011 2:00,69
1/30/2011 3:00,65
1/30/2011 4:00,65
1/30/2011 5:00,67
1/30/2011 7:00,67
1/30/2011 8:00,61
1/30/2011 9:00,67
1/30/2011 10:00,75
1/30/2011 11:00,84
1/30/2011 12:00,158
1/30/2011 13:00,108
1/30/2011 14:00,121
1/30/2011 15:00,175
1/30/2011 16:00,175
1/30/2011 17:00,116
1/30/2011 18:00,88
1/30/2011 19:00,88
1/30/2011 20:00,114
1/30/2011 21:00,103
1/30/2011 22:00,96
1/30/2011 23:00,104
1/31/2011 0:00,64
1/31/2011 1:00,53
1/31/2011 2:00,59
1/31/2011 3:00,59
1/31/2011 4:00,57
1/31/2011 5:00,51
1/31/2011 6:00,45
1/31/2011 7:00,62
1/31/2011 8:00,63
1/31/2011 9:00,63
1/31/2011 10:00,64
1/31/2011 11:00,64
1/31/2011 12:00,73
1/31/2011 13:00,78
1/31/2011 14:00,69
1/31/2011 15:00,66
1/31/2011 16:00,68
1/31/2011 17:00,64
1/31/2011 18:00,64
1/31/2011 19:00,106
1/31/2011 20:00,51
1/31/2011 21:00,58
1/31/2011 22:00,65
1/31/2011 23:00,69
2/20/2011 0:00,120
2/20/2011 1:00,111
2/20/2011 2:00,110
2/20/2011 3:00,110
2/20/2011 4:00,110
2/20/2011 6:00,91
2/20/2011 7:00,78
2/20/2011 8:00,95
2/20/2011 9:00,104
2/20/2011 10:00,117
2/20/2011 11:00,118
2/20/2011 12:00,178
2/20/2011 13:00,231
2/20/2011 14:00,194
2/20/2011 15:00,212
2/20/2011 16:00,211
2/20/2011 17:00,185
2/20/2011 18:00,133
2/20/2011 19:00,133
2/20/2011 20:00,126
2/20/2011 21:00,141
2/20/2011 22:00,148
2/20/2011 23:00,142
2/21/2011 0:00,123
2/21/2011 1:00,123
2/21/2011 2:00,123
2/21/2011 3:00,116
2/21/2011 4:00,117
2/21/2011 5:00,119
2/21/2011 6:00,168
2/21/2011 7:00,169
2/21/2011 8:00,101
2/21/2011 9:00,98
2/21/2011 10:00,92
2/21/2011 11:00,91
2/21/2011 12:00,82
2/21/2011 13:00,59
2/21/2011 14:00,66
2/21/2011 15:00,71
2/21/2011 16:00,63
2/21/2011 17:00,58
2/21/2011 18:00,46
2/21/2011 19:00,46
2/21/2011 20:00,48
2/21/2011 21:00,56
2/21/2011 22:00,47
2/21/2011 23:00,47
2/22/2011 6:00,57
2/22/2011 7:00,57
2/22/2011 8:00,58
2/22/2011 9:00,61
2/22/2011 10:00,95
2/22/2011 11:00,85
2/22/2011 12:00,69
2/22/2011 13:00,63
2/22/2011 14:00,58
2/22/2011 15:00,62
2/22/2011 16:00,64
2/22/2011 17:00,57
2/22/2011 18:00,72
2/22/2011 19:00,52
2/22/2011 20:00,56
2/22/2011 21:00,53
2/22/2011 22:00,54
2/22/2011 23:00,54
2/23/2011 0:00,61
2/23/2011 1:00,59
2/23/2011 2:00,58
2/23/2011 3:00,59
2/23/2011 5:00,60
2/23/2011 6:00,60
2/23/2011 7:00,59
2/23/2011 8:00,61
2/23/2011 9:00,73
2/23/2011 10:00,140
2/23/2011 11:00,98
2/23/2011 12:00,142
2/23/2011 13:00,174
2/23/2011 14:00,178
2/23/2011 15:00,186
2/23/2011 16:00,192
2/23/2011 17:00,186
2/23/2011 18:00,181
2/23/2011 19:00,189
2/23/2011 20:00,65
2/23/2011 21:00,149
2/23/2011 22:00,149
2/23/2011 23:00,82
2/24/2011 0:00,82
2/24/2011 1:00,77
2/24/2011 2:00,73
2/24/2011 3:00,66
2/24/2011 5:00,66
2/24/2011 6:00,58
2/24/2011 7:00,56
2/24/2011 8:00,56
2/24/2011 9:00,50
2/24/2011 10:00,55
2/24/2011 11:00,64
2/24/2011 12:00,94
2/24/2011 13:00,155
2/24/2011 14:00,162
2/24/2011 15:00,112
2/24/2011 16:00,117
2/24/2011 17:00,110
2/24/2011 18:00,37
2/24/2011 19:00,54
2/24/2011 20:00,32
2/24/2011 21:00,37
2/24/2011 22:00,65
2/24/2011 23:00,43
2/25/2011 0:00,111
2/25/2011 1:00,109
2/25/2011 2:00,109
2/25/2011 3:00,65
2/25/2011 5:00,65
2/25/2011 6:00,84
2/25/2011 7:00,66
2/25/2011 8:00,75
2/25/2011 9:00,50
2/25/2011 10:00,106
2/25/2011 11:00,272
2/25/2011 12:00,125
2/25/2011 13:00,125
2/25/2011 14:00,129
2/25/2011 15:00,142
2/25/2011 16:00,51
2/25/2011 17:00,39
2/25/2011 18:00,51
2/25/2011 19:00,45
2/25/2011 20:00,38
2/25/2011 21:00,47
2/25/2011 22:00,41
2/25/2011 23:00,49
2/26/2011 0:00,95
2/26/2011 1:00,94
2/26/2011 2:00,86
2/26/2011 3:00,90
2/26/2011 4:00,105
2/26/2011 5:00,94
2/26/2011 6:00,112
2/26/2011 7:00,99
2/26/2011 8:00,107
2/26/2011 9:00,118
2/26/2011 10:00,136
2/26/2011 11:00,198
2/26/2011 12:00,144
2/26/2011 13:00,152
2/26/2011 14:00,152
2/26/2011 15:00,154
2/26/2011 16:00,161
2/26/2011 17:00,179
2/26/2011 18:00,171
2/26/2011 19:00,142
2/26/2011 20:00,129
2/26/2011 21:00,92
2/26/2011 22:00,80
2/26/2011 23:00,74
2/27/2011 0:00,53
2/27/2011 1:00,64
2/27/2011 2:00,72
2/27/2011 3:00,77
2/27/2011 4:00,70
2/27/2011 6:00,83
2/27/2011 7:00,70
2/27/2011 8:00,88
2/27/2011 9:00,81
2/27/2011 10:00,82
2/27/2011 11:00,133
2/27/2011 12:00,218
2/27/2011 13:00,322
2/27/2011 14:00,281
2/27/2011 15:00,282
2/27/2011 16:00,291
2/27/2011 17:00,204
2/27/2011 18:00,193
2/27/2011 19:00,205
2/27/2011 20:00,218
2/27/2011 21:00,167
2/27/2011 22:00,163
